Domain,Web_Traffic,Have_At,SubDomain,Prefix/Suffix,Have_IP,URL_Depth,Redirection,TinyURL,Digit_count,Domain_Age,Label
whosdatedwho.com,0,0,0,0,0,4,0,0,0,0,0
superherohype.com,0,0,0,0,0,3,0,0,7,0,0
extratorrent.cc,0,0,0,0,0,3,0,0,21,0,0
toonboomtutorials.com,0,0,0,0,0,2,0,0,4,0,0
chess.com,0,0,0,0,0,2,0,0,4,0,0
lowellbasketball.com,1,0,0,0,0,0,0,0,0,0,0
buy-fineart.com,0,0,0,1,0,0,0,1,0,1,0
lima.ohio-state.edu,0,0,0,1,0,1,0,0,0,1,0
grantland.com,0,0,0,0,0,2,0,0,4,1,0
amazon.com,0,0,0,0,0,3,0,0,4,0,0
btjunkie.org,0,0,0,0,0,3,0,0,33,0,0
123people.com,0,0,0,0,0,2,0,0,3,0,0
education.com,0,0,0,0,0,5,0,0,0,0,0
prohockeyfr.com,0,0,0,0,0,2,0,0,0,1,0
thenextweb.com,0,0,0,0,0,6,0,0,8,0,0
sloveniatimes.com,0,0,0,0,0,0,0,0,0,0,0
joshuatreeband.com,0,0,0,0,0,1,0,0,0,0,0
evri.com,0,0,0,0,0,2,0,0,7,0,0
usedmagazines.com,0,0,0,0,0,3,0,0,4,0,0
torcache.net,0,0,1,0,0,2,0,0,34,0,0
wittydeals.com,0,0,0,0,0,1,0,0,4,1,0
invanddis.proboards.com,0,0,0,0,0,1,0,0,5,0,0
transportmedia.co.uk,0,0,0,0,0,0,0,0,0,0,0
snagajob.com,0,0,0,0,0,3,0,0,0,0,0
boxingrepublic.com,0,0,0,0,0,4,0,0,8,0,0
airplanecrash-lawyer.com,0,0,0,1,0,2,0,0,4,0,0
123people.co.uk,0,0,0,0,0,2,0,0,3,0,0
xxxlf.com,0,0,0,0,0,2,0,0,0,0,0
savoyhotel.net,0,0,0,0,0,0,0,0,0,0,0
manta.com,0,0,0,0,0,3,0,0,1,0,0
123people.ca,0,0,0,0,0,2,0,0,3,0,0
ussoccer.com,0,0,0,0,0,3,0,0,0,0,0
filepie.us,0,0,0,0,0,0,0,0,0,0,0
btjunkie.org,0,0,0,0,0,3,0,0,26,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,2,0,0
wordnik.com,0,0,0,0,0,2,0,0,0,0,0
pitchfork.com,0,0,0,0,0,2,0,0,5,1,0
absoluteastronomy.com,0,0,0,0,0,2,0,0,0,0,0
veromi.com,0,0,0,0,0,1,0,0,0,0,0
bampfa.berkeley.edu,0,0,0,0,0,0,0,0,0,1,0
lstribune.net,0,0,0,0,0,2,0,0,0,0,0
insiderpages.com,0,0,0,0,0,2,0,0,0,1,0
mcmillan.ca,0,0,0,0,0,1,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,1,0,0
imdb.com,0,0,0,0,0,2,0,0,7,0,0
matburn.com,0,0,0,0,0,1,0,0,7,0,0
pipl.com,0,0,0,0,0,4,0,0,0,0,0
itunes.apple.com,0,0,0,0,0,4,0,0,9,1,0
kellanlutzonline.com,0,0,0,0,0,1,0,0,0,0,0
tapeworthy.blogspot.com,1,0,0,0,0,3,0,1,6,1,0
donstewartministerialassociation.org,1,0,0,0,0,0,0,0,0,1,0
bdnews24.com,0,0,0,0,0,5,0,0,10,0,0
tvrage.com,0,0,0,0,0,3,0,0,5,0,0
dl.acm.org,0,0,0,0,0,1,0,0,6,0,0
thecanadianencyclopedia.com,0,0,0,0,0,1,0,0,8,1,0
myspace.com,0,0,0,0,0,1,0,0,0,0,0
en-gb.facebook.com,0,0,0,1,0,1,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,3,0,0
video.sharks.nhl.com,0,0,0,0,0,2,0,0,5,0,0
aos.grc.nasa.gov,0,0,0,0,0,3,0,0,0,1,0
marketwatch.com,0,0,0,0,0,2,0,0,11,1,0
footballfashion.org,0,0,0,0,0,5,0,0,12,0,0
activerain.com,0,0,0,0,0,4,0,0,0,0,0
ilike.com,0,0,0,0,0,4,0,0,3,0,0
babal.net,0,0,0,0,0,3,0,0,32,0,0
barnesandnoble.com,0,0,0,0,0,3,0,0,10,1,0
proteinwisdom.com,0,0,0,0,0,0,0,0,5,1,0
stokestunes.com,1,0,0,0,0,0,0,0,0,1,0
linkedin.com,0,0,0,0,0,5,0,0,7,0,0
washington.nationals.mlb.com,0,0,1,0,0,3,0,0,1,0,0
searchengineland.com,0,0,0,0,0,1,0,0,6,0,0
city-data.com,0,0,0,1,0,2,0,0,0,0,0
nethelper.com,0,0,0,0,0,2,0,0,0,0,0
flutrackers.com,0,0,0,0,0,2,0,0,4,0,0
penguinsofmadagascaronline.blogspot.com,1,0,0,0,0,0,0,1,0,1,0
entrepreneursunpluggd.com,0,0,0,0,0,1,0,0,0,0,0
moviefone.com,0,0,0,0,0,4,0,0,6,0,0
viaducttheatre.com,1,0,0,0,0,2,0,0,2,1,0
123people.com,0,0,0,0,0,2,0,0,3,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,4,0,0
ameon.wordpress.com,0,0,0,0,0,0,0,0,0,0,0
funeralhomesinclevelandohio.com,1,0,0,0,0,0,0,0,0,1,0
zpmovie.com,1,0,0,0,0,0,0,0,0,0,0
okcareertech.org,0,0,0,0,0,3,0,0,4,0,0
vitals.com,0,0,0,0,0,2,0,0,0,0,0
latimes.com,0,0,0,0,0,4,0,0,8,0,0
articles.baltimoresun.com,0,0,0,0,0,2,0,0,0,0,0
facebook.com,0,0,0,0,0,3,0,0,10,0,0
ontheforecheck.com,0,0,0,0,0,5,0,0,14,1,0
